"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Evans County, GA"	"13109"	104	10670	9.747	8.825
	"Fannin County, GA"	"13111"	350	24900	14.056	8.591
	"Fayette County, GA"	"13113"	863	111627	7.731	6.246
	"Floyd County, GA"	"13115"	1092	96560	11.309	9.375
	"Forsyth County, GA"	"13117"	1120	221009	5.068	6.104
	"Franklin County, GA"	"13119"	294	22320	13.172	9.794
	"Fulton County, GA"	"13121"	6535	1023336	6.386	6.999
	"Gilmer County, GA"	"13123"	337	29733	11.334	8.062
	"Glascock County, GA"	"13125"	50	3006	16.633	11.398
	"Glynn County, GA"	"13127"	868	84502	10.272	8.033
	"Gordon County, GA"	"13129"	526	56904	9.244	9.059
	"Grady County, GA"	"13131"	274	24808	11.045	9.239
	"Greene County, GA"	"13133"	191	17003	11.233	7.517
	"Gwinnett County, GA"	"13135"	4258	907135	4.694	6.420
	"Habersham County, GA"	"13137"	480	44246	10.848	8.712
	"Hall County, GA"	"13139"	1495	196637	7.603	7.200
	"Hancock County, GA"	"13141"	109	8640	12.616	8.456
	"Haralson County, GA"	"13143"	389	29042	13.394	11.554
	"Harris County, GA"	"13145"	253	33652	7.518	6.374
	"Hart County, GA"	"13147"	315	25553	12.327	8.496
	"Heard County, GA"	"13149"	148	11487	12.884	11.078
	"Henry County, GA"	"13151"	1461	221768	6.588	7.938
	"Houston County, GA"	"13153"	1181	152122	7.764	8.248
	"Irwin County, GA"	"13155"	114	9422	12.099	9.356
	"Jackson County, GA"	"13157"	618	64615	9.564	9.843
	"Jasper County, GA"	"13159"	137	13654	10.034	8.942
	"Jeff Davis County, GA"	"13161"	182	14877	12.234	12.308
	"Jefferson County, GA"	"13163"	208	15916	13.069	10.184
	"Jenkins County, GA"	"13165"	102	8849	11.527	9.525
	"Johnson County, GA"	"13167"	105	9505	11.047	9.322
	"Jones County, GA"	"13169"	252	28623	8.804	7.504
	"Lamar County, GA"	"13171"	215	18469	11.641	9.889
	"Lanier County, GA"	"13173"	88	10399	8.462	8.653
	"Laurens County, GA"	"13175"	566	47516	11.912	9.263
	"Lee County, GA"	"13177"	201	29337	6.851	7.614
	"Liberty County, GA"	"13179"	369	62570	5.897	8.884
	"Lincoln County, GA"	"13181"	95	7828	12.136	8.538
	"Long County, GA"	"13183"	91	18437	4.936	7.133
	"Lowndes County, GA"	"13185"	908	114628	7.921	8.848
	"Lumpkin County, GA"	"13187"	265	31445	8.427	7.743
	"McDuffie County, GA"	"13189"	225	21490	10.470	8.984
	"McIntosh County, GA"	"13191"	134	13927	9.622	6.508
	"Macon County, GA"	"13193"	156	13450	11.599	10.629
	"Madison County, GA"	"13195"	292	28824	10.130	8.937
	"Marion County, GA"	"13197"	76	8524	8.916	7.480
	"Meriwether County, GA"	"13199"	296	21074	14.046	10.436
	"Miller County, GA"	"13201"	89	5926	15.019	10.839
	"Mitchell County, GA"	"13205"	230	22459	10.241	8.523
	"Monroe County, GA"	"13207"	282	27306	10.327	7.878
	"Montgomery County, GA"	"13209"	79	9060	8.720	7.643
	"Morgan County, GA"	"13211"	185	18170	10.182	7.732
	"Murray County, GA"	"13213"	406	39315	10.327	10.190
	"Muscogee County, GA"	"13215"	2094	197485	10.603	10.397
	"Newton County, GA"	"13217"	808	106999	7.551	8.040
	"Oconee County, GA"	"13219"	240	36838	6.515	6.167
	"Oglethorpe County, GA"	"13221"	144	14921	9.651	7.664
	"Paulding County, GA"	"13223"	877	155825	5.628	7.201
	"Peach County, GA"	"13225"	339	26655	12.718	12.522
	"Pickens County, GA"	"13227"	359	30832	11.644	8.787
	"Pierce County, GA"	"13229"	217	19171	11.319	9.614
	"Pike County, GA"	"13231"	186	17941	10.367	9.381
	"Polk County, GA"	"13233"	506	41776	12.112	10.888
	"Pulaski County, GA"	"13235"	129	11251	11.466	7.956
	"Putnam County, GA"	"13237"	250	21477	11.640	8.236
	"Quitman County, GA"	"13239"	18	2335	7.709 (Unreliable)	5.884 (Unreliable)
	"Rabun County, GA"	"13241"	223	16559	13.467	8.503
	"Randolph County, GA"	"13243"	93	7177	12.958	8.114
	"Richmond County, GA"	"13245"	2031	201647	10.072	9.868
	"Rockdale County, GA"	"13247"	706	89355	7.901	7.956
	"Schley County, GA"	"13249"	30	5098	5.885	5.632
	"Screven County, GA"	"13251"	143	14044	10.182	7.984
	"Seminole County, GA"	"13253"	148	8468	17.478	11.236
	"Spalding County, GA"	"13255"	759	64806	11.712	9.959
	"Stephens County, GA"	"13257"	362	25751	14.058	11.477
	"Stewart County, GA"	"13259"	62	5705	10.868	9.351
	"Sumter County, GA"	"13261"	373	30389	12.274	10.841
	"Talbot County, GA"	"13263"	80	6171	12.964	8.579
	"Taliaferro County, GA"	"13265"	20	1593	12.555	6.594
	"Tattnall County, GA"	"13267"	247	25092	9.844	10.269
	"Taylor County, GA"	"13269"	102	8232	12.391	8.879
	"Telfair County, GA"	"13271"	158	15965	9.897	7.719
	"Terrell County, GA"	"13273"	102	8967	11.375	8.338
	"Thomas County, GA"	"13275"	517	45248	11.426	8.952
	"Tift County, GA"	"13277"	420	40828	10.287	9.493
	"Toombs County, GA"	"13279"	317	27196	11.656	10.028
	"Towns County, GA"	"13281"	194	11391	17.031	8.602
	"Treutlen County, GA"	"13283"	72	6637	10.848	9.036
	"Troup County, GA"	"13285"	725	70005	10.356	9.580
	"Turner County, GA"	"13287"	111	8030	13.823	9.988
	"Twiggs County, GA"	"13289"	105	8171	12.850	10.017
	"Union County, GA"	"13291"	295	22928	12.866	6.632
	"Upson County, GA"	"13293"	354	26335	13.442	10.284
	"Walker County, GA"	"13295"	884	67896	13.020	10.487
	"Walton County, GA"	"13297"	857	90184	9.503	8.755
	"Ware County, GA"	"13299"	449	35738	12.564	9.946
	"Warren County, GA"	"13301"	79	5442	14.517	10.159
	"Washington County, GA"	"13303"	253	20457	12.367	9.834
	"Wayne County, GA"	"13305"	354	30104	11.759	10.592
	"Webster County, GA"	"13307"	29	2599	11.158	8.016
	"Wheeler County, GA"	"13309"	57	7978	7.145	7.021
	"White County, GA"	"13311"	268	28884	9.278	7.095
	"Whitfield County, GA"	"13313"	848	104589	8.108	8.039
	"Wilcox County, GA"	"13315"	106	8761	12.099	10.003
	"Wilkes County, GA"	"13317"	143	9805	14.584	9.365
	"Wilkinson County, GA"	"13319"	140	9104	15.378	11.131
	"Worth County, GA"	"13321"	220	20748	10.603	8.567
	"Hawaii County, HI"	"15001"	1705	198449	8.592	6.429
	"Honolulu County, HI"	"15003"	7577	992605	7.633	5.650
	"Kalawao County, HI"	"15005"	0	88	0.000 (Unreliable)	0.000 (Unreliable)
	"Kauai County, HI"	"15007"	555	72029	7.705	5.826
	"Maui County, HI"	"15009"	1076	165386	6.506	5.266
	"Ada County, ID"	"16001"	2994	444028	6.743	6.559
	"Adams County, ID"	"16003"	40	3900	10.256	6.312
	"Bannock County, ID"	"16005"	716	84377	8.486	8.525
	"Bear Lake County, ID"	"16007"	56	5945	9.420	6.856
	"Benewah County, ID"	"16009"	132	9092	14.518	10.596
	"Bingham County, ID"	"16011"	396	45201	8.761	8.692
	"Blaine County, ID"	"16013"	107	21791	4.910	4.322
	"Boise County, ID"	"16015"	54	7124	7.580	5.741
	"Bonner County, ID"	"16017"	445	42536	10.462	7.056
	"Bonneville County, ID"	"16019"	875	112232	7.796	7.955
	"Boundary County, ID"	"16021"	112	11681	9.588	6.815
	"Butte County, ID"	"16023"	25	2501	9.996	7.711
	"Camas County, ID"	"16025"	Suppressed	1072	Suppressed	Suppressed
	"Canyon County, ID"	"16027"	1498	211698	7.076	7.461
	"Caribou County, ID"	"16029"	63	6887	9.148	7.245
	"Cassia County, ID"	"16031"	185	23504	7.871	7.329
	"Clark County, ID"	"16033"	Suppressed	860	Suppressed	Suppressed
	"Clearwater County, ID"	"16035"	116	8497	13.652	8.738
	"Custer County, ID"	"16037"	41	4096	10.010	5.841
	"Elmore County, ID"	"16039"	211	26018	8.110	8.584
	"Franklin County, ID"	"16041"	96	13406	7.161	6.595
	"Fremont County, ID"	"16043"	104	12943	8.035	7.033
	"Gem County, ID"	"16045"	213	17184	12.395	8.345
	"Gooding County, ID"	"16047"	154	15185	10.142	8.458
	"Idaho County, ID"	"16049"	193	16156	11.946	7.239
	"Jefferson County, ID"	"16051"	174	27839	6.250	7.133
	"Jerome County, ID"	"16053"	190	22994	8.263	9.119
	"Kootenai County, ID"	"16055"	1387	154311	8.988	7.187
	"Latah County, ID"	"16057"	242	39196	6.174	6.506
	"Lemhi County, ID"	"16059"	89	7723	11.524	6.768
	"Lewis County, ID"	"16061"	44	3853	11.420	6.129
	"Lincoln County, ID"	"16063"	32	5271	6.071	6.259
	"Madison County, ID"	"16065"	113	39048	2.894	5.620
	"Minidoka County, ID"	"16067"	153	20616	7.421	6.180
	"Nez Perce County, ID"	"16069"	513	40369	12.708	8.294
	"Oneida County, ID"	"16071"	33	4343	7.598	5.310
	"Owyhee County, ID"	"16073"	96	11389	8.429	7.527
	"Payette County, ID"	"16075"	199	23026	8.642	7.337
	"Power County, ID"	"16077"	70	7654	9.146	9.319
	"Shoshone County, ID"	"16079"	190	12452	15.259	10.007
	"Teton County, ID"	"16081"	46	10960	4.197	6.335
	"Twin Falls County, ID"	"16083"	765	83514	9.160	8.164
	"Valley County, ID"	"16085"	86	10496	8.194	6.133
	"Washington County, ID"	"16087"	105	10172	10.322	6.119
	"Adams County, IL"	"17001"	773	66578	11.610	7.493
	"Alexander County, IL"	"17003"	101	6478	15.591	10.859
	"Bond County, IL"	"17005"	183	16824	10.877	8.095
	"Boone County, IL"	"17007"	408	53503	7.626	7.038
	"Brown County, IL"	"17009"	58	6762	8.577	7.846
	"Bureau County, IL"	"17011"	447	33359	13.400	8.251
	"Calhoun County, IL"	"17013"	50	4894	10.217	5.605
	"Carroll County, IL"	"17015"	177	14539	12.174	7.063
	"Cass County, IL"	"17017"	159	12676	12.543	9.553
	"Champaign County, IL"	"17019"	1311	208419	6.290	6.599
	"Christian County, IL"	"17021"	415	33309	12.459	8.409
	"Clark County, IL"	"17023"	179	15938	11.231	7.716
	"Clay County, IL"	"17025"	181	13300	13.609	8.888
	"Clinton County, IL"	"17027"	342	37729	9.065	6.850
	"Coles County, IL"	"17029"	524	52343	10.011	8.066
	"Cook County, IL"	"17031"	40899	5203499	7.860	7.193
	"Crawford County, IL"	"17033"	254	19308	13.155	8.816
	"Cumberland County, IL"	"17035"	109	10858	10.039	7.323
	"DeKalb County, IL"	"17037"	700	104528	6.697	7.030
	"De Witt County, IL"	"17039"	189	16226	11.648	8.408
	"Douglas County, IL"	"17041"	181	19630	9.221	6.899
	"DuPage County, IL"	"17043"	6329	929368	6.810	5.959
	"Edgar County, IL"	"17045"	227	17566	12.923	8.228
	"Edwards County, IL"	"17047"	73	6523	11.191	7.262
	"Effingham County, IL"	"17049"	303	34386	8.812	6.456
	"Fayette County, IL"	"17051"	223	21789	10.235	7.674
	"Ford County, IL"	"17053"	209	13575	15.396	9.346
	"Franklin County, IL"	"17055"	518	39156	13.229	9.321
	"Fulton County, IL"	"17057"	479	35536	13.479	8.946
	"Gallatin County, IL"	"17059"	70	5212	13.431	9.354
	"Greene County, IL"	"17061"	190	13093	14.512	9.976
	"Grundy County, IL"	"17063"	396	50437	7.851	7.624
	"Hamilton County, IL"	"17065"	98	8061	12.157	7.823
	"Hancock County, IL"	"17067"	220	18508	11.887	6.843
	"Hardin County, IL"	"17069"	74	4024	18.390	11.639
	"Henderson County, IL"	"17071"	86	6869	12.520	7.322
	"Henry County, IL"	"17073"	561	49280	11.384	7.772
	"Iroquois County, IL"	"17075"	406	28334	14.329	9.237
	"Jackson County, IL"	"17077"	450	58870	7.644	7.182
	"Jasper County, IL"	"17079"	113	9536	11.850	8.028
	"Jefferson County, IL"	"17081"	407	38460	10.582	7.916
	"Jersey County, IL"	"17083"	272	22025	12.350	8.685
	"Jo Daviess County, IL"	"17085"	258	21770	11.851	6.817
	"Johnson County, IL"	"17087"	121	12902	9.378	7.034
	"Kane County, IL"	"17089"	3165	531715	5.952	6.103
	"Kankakee County, IL"	"17091"	1180	110008	10.726	8.788
	"Kendall County, IL"	"17093"	560	124695	4.491	5.996
	"Knox County, IL"	"17095"	681	50938	13.369	8.734
	"Lake County, IL"	"17097"	4503	703047	6.405	6.121
	"LaSalle County, IL"	"17099"	1296	110642	11.713	8.049
	"Lawrence County, IL"	"17101"	213	16377	13.006	9.557
	"Lee County, IL"	"17103"	366	34251	10.686	7.609
	"Livingston County, IL"	"17105"	430	36526	11.772	8.314
	"Logan County, IL"	"17107"	363	29527	12.294	8.850
	"McDonough County, IL"	"17109"	320	30996	10.324	8.211
	"McHenry County, IL"	"17111"	2066	307004	6.730	6.764
	"McLean County, IL"	"17113"	1134	172418	6.577	6.599
	"Macon County, IL"	"17115"	1215	106550	11.403	7.999
	"Macoupin County, IL"	"17117"	604	45908	13.157	9.039
	"Madison County, IL"	"17119"	2772	265759	10.431	8.255
	"Marion County, IL"	"17121"	538	38140	14.106	9.899
	"Marshall County, IL"	"17123"	156	11939	13.066	7.766
	"Mason County, IL"	"17125"	184	13507	13.623	8.516
	"Massac County, IL"	"17127"	215	14658	14.668	9.702
	"Menard County, IL"	"17129"	129	12516	10.307	7.192
	"Mercer County, IL"	"17131"	189	15730	12.015	7.308
	"Monroe County, IL"	"17133"	257	34068	7.544	5.521
	"Montgomery County, IL"	"17135"	368	28952	12.711	8.305
	"Morgan County, IL"	"17137"	388	34277	11.320	7.644
	"Moultrie County, IL"	"17139"	194	14827	13.084	8.401
	"Ogle County, IL"	"17141"	501	51273	9.771	7.282
	"Peoria County, IL"	"17143"	1842	185006	9.956	8.208
	"Perry County, IL"	"17145"	233	21357	10.910	8.149
	"Piatt County, IL"	"17147"	176	16560	10.628	7.721
	"Pike County, IL"	"17149"	209	15950	13.103	8.379
	"Pope County, IL"	"17151"	51	4157	12.268	7.691
	"Pulaski County, IL"	"17153"	72	5619	12.814	7.966
	"Putnam County, IL"	"17155"	61	5611	10.872	7.474
	"Randolph County, IL"	"17157"	387	32621	11.864	8.499
	"Richland County, IL"	"17159"	225	15930	14.124	8.637
	"Rock Island County, IL"	"17161"	1618	144784	11.175	7.930
	"St. Clair County, IL"	"17163"	2486	262759	9.461	8.139
	"Saline County, IL"	"17165"	369	24307	15.181	10.587
	"Sangamon County, IL"	"17167"	1898	197499	9.610	7.551
	"Schuyler County, IL"	"17169"	99	6923	14.300	9.280
	"Scott County, IL"	"17171"	63	5053	12.468	8.689
	"Shelby County, IL"	"17173"	228	21717	10.499	6.482
	"Stark County, IL"	"17175"	67	5776	11.600	6.775
	"Stephenson County, IL"	"17177"	564	45624	12.362	7.411
	"Tazewell County, IL"	"17179"	1383	134385	10.291	7.446
	"Union County, IL"	"17181"	213	17212	12.375	8.315
	"Vermilion County, IL"	"17183"	955	78111	12.226	9.294
	"Wabash County, IL"	"17185"	152	11492	13.227	8.208
	"Warren County, IL"	"17187"	177	17378	10.185	7.032
	"Washington County, IL"	"17189"	174	14154	12.293	8.065
	"Wayne County, IL"	"17191"	196	16396	11.954	7.953
	"White County, IL"	"17193"	208	14292	14.554	8.914
	"Whiteside County, IL"	"17195"	656	56536	11.603	7.614
	"Will County, IL"	"17197"	4501	689529	6.528	7.030
	"Williamson County, IL"	"17199"	778	67560	11.516	8.706
	"Winnebago County, IL"	"17201"	2892	285873	10.116	8.136
	"Woodford County, IL"	"17203"	377	39140	9.632	6.779
	"Adams County, IN"	"18001"	323	35232	9.168	7.393
	"Allen County, IN"	"18003"	3348	370404	9.039	8.336
	"Bartholomew County, IN"	"18005"	748	81402	9.189	7.953
	"Benton County, IN"	"18007"	77	8650	8.902	6.981
	"Blackford County, IN"	"18009"	154	12149	12.676	8.984
	"Boone County, IN"	"18011"	546	64653	8.445	8.238
	"Brown County, IN"	"18013"	161	14912	10.797	7.633
	"Carroll County, IN"	"18015"	196	19970	9.815	7.333
	"Cass County, IN"	"18017"	411	37946	10.831	8.302
	"Clark County, IN"	"18019"	1232	116031	10.618	9.590
	"Clay County, IN"	"18021"	312	26309	11.859	9.221
	"Clinton County, IN"	"18023"	363	32457	11.184	8.342
	"Crawford County, IN"	"18025"	118	10539	11.197	9.286
	"Daviess County, IN"	"18027"	342	32969	10.373	9.129
	"Dearborn County, IN"	"18029"	504	49331	10.217	8.702
	"Decatur County, IN"	"18031"	290	26598	10.903	8.828
	"De Kalb County, IN"	"18033"	429	42746	10.036	8.378
	"Delaware County, IN"	"18035"	1327	115603	11.479	9.438
	"Dubois County, IN"	"18037"	410	42552	9.635	7.315
	"Elkhart County, IN"	"18039"	1789	203781	8.779	7.964
	"Fayette County, IN"	"18041"	314	23331	13.458	10.050
	"Floyd County, IN"	"18043"	789	76990	10.248	8.713
	"Fountain County, IN"	"18045"	214	16486	12.981	8.690
	"Franklin County, IN"	"18047"	208	22715	9.157	7.342
	"Fulton County, IN"	"18049"	232	20139	11.520	8.627
	"Gibson County, IN"	"18051"	380	33703	11.275	8.626
	"Grant County, IN"	"18053"	811	66937	12.116	9.052
	"Greene County, IN"	"18055"	405	32211	12.573	9.193
	"Hamilton County, IN"	"18057"	1689	316373	5.339	6.046
	"Hancock County, IN"	"18059"	680	73717	9.224	8.087
	"Harrison County, IN"	"18061"	418	39826	10.496	8.777
	"Hendricks County, IN"	"18063"	1127	160610	7.017	7.095
	"Henry County, IN"	"18065"	579	48521	11.933	8.799
	"Howard County, IN"	"18067"	1070	82568	12.959	9.524
	"Huntington County, IN"	"18069"	457	36400	12.555	9.593
	"Jackson County, IN"	"18071"	453	44013	10.292	8.661
	"Jasper County, IN"	"18073"	321	33433	9.601	8.156
	"Jay County, IN"	"18075"	231	21046	10.976	8.941
	"Jefferson County, IN"	"18077"	354	32418	10.920	8.799
	"Jennings County, IN"	"18079"	315	27758	11.348	10.388
	"Johnson County, IN"	"18081"	1305	151982	8.587	7.893
	"Knox County, IN"	"18083"	423	37744	11.207	8.892
	"Kosciusko County, IN"	"18085"	656	79092	8.294	7.126
	"Lagrange County, IN"	"18087"	244	39110	6.239	6.312
	"Lake County, IN"	"18089"	4837	485846	9.956	8.358
	"La Porte County, IN"	"18091"	1266	110015	11.508	9.420
	"Lawrence County, IN"	"18093"	551	45518	12.105	8.771
	"Madison County, IN"	"18095"	1498	129296	11.586	9.045
	"Marion County, IN"	"18097"	8263	941229	8.779	9.037
	"Marshall County, IN"	"18099"	483	46556	10.375	7.791
	"Martin County, IN"	"18101"	112	10171	11.012	8.492
	"Miami County, IN"	"18103"	385	35883	10.729	8.664
	"Monroe County, IN"	"18105"	1009	145496	6.935	7.352
	"Montgomery County, IN"	"18107"	404	38074	10.611	8.028
	"Morgan County, IN"	"18109"	649	69698	9.312	8.169
	"Newton County, IN"	"18111"	163	13924	11.706	8.850
	"Noble County, IN"	"18113"	455	47638	9.551	8.297
	"Ohio County, IN"	"18115"	65	5932	10.958	8.051
	"Orange County, IN"	"18117"	246	19335	12.723	9.760
	"Owen County, IN"	"18119"	249	20840	11.948	9.919
	"Parke County, IN"	"18121"	171	16800	10.179	8.127
	"Perry County, IN"	"18123"	218	18966	11.494	8.646
	"Pike County, IN"	"18125"	166	12431	13.354	9.589
	"Porter County, IN"	"18127"	1395	167791	8.314	7.173
	"Posey County, IN"	"18129"	230	25476	9.028	7.101
	"Pulaski County, IN"	"18131"	145	12660	11.453	8.416
	"Putnam County, IN"	"18133"	365	37436	9.750	8.073
	"Randolph County, IN"	"18135"	277	25082	11.044	7.875
	"Ripley County, IN"	"18137"	297	28846	10.296	7.731
	"Rush County, IN"	"18139"	208	16649	12.493	9.190
	"St. Joseph County, IN"	"18141"	2687	269141	9.984	8.348
	"Scott County, IN"	"18143"	330	23730	13.906	12.186
	"Shelby County, IN"	"18145"	482	44324	10.874	8.689
	"Spencer County, IN"	"18147"	227	20648	10.994	8.124
	"Starke County, IN"	"18149"	258	23009	11.213	9.448
	"Steuben County, IN"	"18151"	335	34116	9.819	7.775
	"Sullivan County, IN"	"18153"	232	20802	11.153	9.088
	"Switzerland County, IN"	"18155"	90	10527	8.549	7.170
	"Tippecanoe County, IN"	"18157"	1215	188059	6.461	7.415
	"Tipton County, IN"	"18159"	199	15182	13.108	9.069
	"Union County, IN"	"18161"	79	7212	10.954	8.459
	"Vanderburgh County, IN"	"18163"	1936	181721	10.654	8.514
	"Vermillion County, IN"	"18165"	196	15645	12.528	8.813
	"Vigo County, IN"	"18167"	1154	107931	10.692	9.045
	"Wabash County, IN"	"18169"	456	31762	14.357	9.342
	"Warren County, IN"	"18171"	101	8166	12.368	8.458
	"Warrick County, IN"	"18173"	568	62498	9.088	7.268
	"Washington County, IN"	"18175"	323	27670	11.673	10.019
	"Wayne County, IN"	"18177"	863	66568	12.964	9.513
	"Wells County, IN"	"18179"	278	27949	9.947	7.127
	"White County, IN"	"18181"	297	23999	12.376	8.292
	"Whitley County, IN"	"18183"	305	33449	9.118	7.214
	"Adair County, IA"	"19001"	105	7092	14.805	7.539
	"Adams County, IA"	"19003"	47	3693	12.727	8.589
	"Allamakee County, IA"	"19005"	152	13884	10.948	6.527
	"Appanoose County, IA"	"19007"	156	12462	12.518	7.639
	"Audubon County, IA"	"19009"	95	5678	16.731	9.318
	"Benton County, IA"	"19011"	223	25699	8.677	6.247
	"Black Hawk County, IA"	"19013"	1240	132904	9.330	7.687
	"Boone County, IA"	"19015"	299	26532	11.269	8.032
	"Bremer County, IA"	"19017"	218	24798	8.791	5.888
	"Buchanan County, IA"	"19019"	196	20992	9.337	7.136
	"Buena Vista County, IA"	"19021"	192	20332	9.443	6.644
	"Butler County, IA"	"19023"	190	14791	12.846	7.397
	"Calhoun County, IA"	"19025"	144	9846	14.625	8.234
	"Carroll County, IA"	"19027"	230	20437	11.254	6.816
	"Cass County, IA"	"19029"	191	13157	14.517	8.273
	"Cedar County, IA"	"19031"	199	18454	10.784	6.928
	"Cerro Gordo County, IA"	"19033"	539	43070	12.515	7.802
	"Cherokee County, IA"	"19035"	175	11508	15.207	7.589
	"Chickasaw County, IA"	"19037"	136	12023	11.312	7.197
	"Clarke County, IA"	"19039"	110	9309	11.817	8.427
	"Clay County, IA"	"19041"	170	16333	10.408	6.058
	"Clayton County, IA"	"19043"	193	17590	10.972	6.365
	"Clinton County, IA"	"19045"	577	47309	12.196	8.168
	"Crawford County, IA"	"19047"	165	16940	9.740	7.005
	"Dallas County, IA"	"19049"	487	84516	5.762	5.898
	"Davis County, IA"	"19051"	94	8860	10.609	7.944
	"Decatur County, IA"	"19053"	86	8141	10.564	7.216
	"Delaware County, IA"	"19055"	170	17327	9.811	6.214
	"Des Moines County, IA"	"19057"	478	39739	12.028	8.085
	"Dickinson County, IA"	"19059"	190	17243	11.019	5.790
	"Dubuque County, IA"	"19061"	867	97003	8.938	6.608
	"Emmet County, IA"	"19063"	121	9658	12.528	7.148
	"Fayette County, IA"	"19065"	256	20054	12.766	7.928
	"Floyd County, IA"	"19067"	170	15873	10.710	6.242
	"Franklin County, IA"	"19069"	140	10170	13.766	7.814
	"Fremont County, IA"	"19071"	86	6950	12.374	7.882
	"Greene County, IA"	"19073"	138	9011	15.315	8.888
	"Grundy County, IA"	"19075"	144	12313	11.695	6.819
	"Guthrie County, IA"	"19077"	97	10625	9.129	5.387
	"Hamilton County, IA"	"19079"	168	15076	11.144	6.798
	"Hancock County, IA"	"19081"	118	10835	10.891	6.543
	"Hardin County, IA"	"19083"	209	17226	12.133	6.876
	"Harrison County, IA"	"19085"	171	14149	12.086	7.531
	"Henry County, IA"	"19087"	215	19773	10.873	7.406
	"Howard County, IA"	"19089"	103	9332	11.037	6.463
	"Humboldt County, IA"	"19091"	112	9487	11.806	7.176
	"Ida County, IA"	"19093"	103	6985	14.746	7.296
	"Iowa County, IA"	"19095"	174	16311	10.668	6.742
	"Jackson County, IA"	"19097"	187	19472	9.604	6.207
	"Jasper County, IA"	"19099"	363	36708	9.889	6.720
	"Jefferson County, IA"	"19101"	170	18090	9.397	6.623
	"Johnson County, IA"	"19103"	786	146547	5.363	6.125
	"Jones County, IA"	"19105"	189	20439	9.247	6.058
	"Keokuk County, IA"	"19107"	122	10119	12.057	7.375
	"Kossuth County, IA"	"19109"	174	15114	11.513	5.641
	"Lee County, IA"	"19111"	437	34615	12.625	8.939
	"Linn County, IA"	"19113"	1806	221661	8.148	7.000
	"Louisa County, IA"	"19115"	109	11142	9.783	7.506
	"Lucas County, IA"	"19117"	111	8647	12.837	7.499
	"Lyon County, IA"	"19119"	97	11754	8.253	5.466
	"Madison County, IA"	"19121"	157	15848	9.907	7.513
	"Mahaska County, IA"	"19123"	253	22181	11.406	7.847
	"Marion County, IA"	"19125"	334	33189	10.064	7.521
	"Marshall County, IA"	"19127"	472	40312	11.709	8.284
	"Mills County, IA"	"19129"	117	14972	7.815	6.198
	"Mitchell County, IA"	"19131"	125	10763	11.614	5.735
	"Monona County, IA"	"19133"	143	8898	16.071	8.134
	"Monroe County, IA"	"19135"	117	7870	14.867	10.092
	"Montgomery County, IA"	"19137"	125	10225	12.225	7.057
	"Muscatine County, IA"	"19139"	418	42940	9.735	7.990
	"O'Brien County, IA"	"19141"	199	14020	14.194	7.593
	"Osceola County, IA"	"19143"	86	6064	14.182	8.531
	"Page County, IA"	"19145"	213	15391	13.839	7.919
	"Palo Alto County, IA"	"19147"	116	9047	12.822	6.736
	"Plymouth County, IA"	"19149"	241	25200	9.563	6.364
	"Pocahontas County, IA"	"19151"	100	6886	14.522	7.788
	"Polk County, IA"	"19153"	3489	474045	7.360	7.444
	"Pottawattamie County, IA"	"19155"	938	93582	10.023	7.985
	"Poweshiek County, IA"	"19157"	214	18533	11.547	7.206
	"Ringgold County, IA"	"19159"	84	5068	16.575	8.647
	"Sac County, IA"	"19161"	132	9876	13.366	7.067
	"Scott County, IA"	"19163"	1516	172474	8.790	7.401
	"Shelby County, IA"	"19165"	143	11800	12.119	6.170
	"Sioux County, IA"	"19167"	262	34898	7.508	5.614
	"Story County, IA"	"19169"	551	97090	5.675	6.133
	"Tama County, IA"	"19171"	196	17319	11.317	7.265
	"Taylor County, IA"	"19173"	71	6216	11.422	6.406
	"Union County, IA"	"19175"	151	12420	12.158	8.157
	"Van Buren County, IA"	"19177"	98	7271	13.478	8.980
	"Wapello County, IA"	"19179"	392	34982	11.206	8.323
	"Warren County, IA"	"19181"	421	49691	8.472	7.172
	"Washington County, IA"	"19183"	242	22281	10.861	7.085
	"Wayne County, IA"	"19185"	78	6452	12.089	7.685
	"Webster County, IA"	"19187"	435	36769	11.831	8.604
	"Winnebago County, IA"	"19189"	128	10631	12.040	7.058
	"Winneshiek County, IA"	"19191"	201	20561	9.776	6.101
	"Woodbury County, IA"	"19193"	928	102779	9.029	8.148
	"Worth County, IA"	"19195"	103	7572	13.603	9.248
	"Wright County, IA"	"19197"	159	12779	12.442	6.506
	"Allen County, KS"	"20001"	154	12714	12.113	7.958
	"Anderson County, KS"	"20003"	113	7827	14.437	8.605
	"Atchison County, KS"	"20005"	191	16380	11.661	9.363
	"Barber County, KS"	"20007"	50	4688	10.666	6.632
	"Barton County, KS"	"20009"	293	26775	10.943	7.702
	"Bourbon County, KS"	"20011"	192	14617	13.135	8.883
	"Brown County, KS"	"20013"	118	9684	12.185	8.209
	"Butler County, KS"	"20015"	641	67025	9.564	8.208
	"Chase County, KS"	"20017"	45	2669	16.860	9.629
	"Chautauqua County, KS"	"20019"	60	3374	17.783	11.189
	"Cherokee County, KS"	"20021"	247	20246	12.200	9.159
	"Cheyenne County, KS"	"20023"	37	2661	13.905	6.076
	"Clark County, KS"	"20025"	30	2072	14.479	9.029
	"Clay County, KS"	"20027"	102	8143	12.526	7.268
