"Label (Grouping)","Population 18 to 24 years","Population 18 to 24 years!!Less than high school graduate","Population 18 to 24 years!!High school graduate (includes equivalency)","Population 18 to 24 years!!Some college or associate's degree","Population 18 to 24 years!!Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","White alone, not Hispanic or Latino","White alone, not Hispanic or Latino!!High school graduate or higher","White alone, not Hispanic or Latino!!Bachelor's degree or higher","Black alone","Black alone!!High school graduate or higher","Black alone!!Bachelor's degree or higher","American Indian or Alaska Native alone","American Indian or Alaska Native alone!!High school graduate or higher","American Indian or Alaska Native alone!!Bachelor's degree or higher","Asian alone","Asian alone!!High school graduate or higher","Asian alone!!Bachelor's degree or higher","Native Hawaiian and Other Pacific Islander alone","Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","Some other race alone","Some other race alone!!High school graduate or higher","Some other race alone!!Bachelor's degree or higher","Two or more races","Two or more races!!High school graduate or higher","Two or more races!!Bachelor's degree or higher","Hispanic or Latino Origin","Hispanic or Latino Origin!!High school graduate or higher","Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","19.5%","38.3%","39.0%","3.2%","(X)","5.8%","10.9%","35.9%","22.7%","8.5%","9.8%","6.4%","83.3%","16.1%","(X)","92.5%","5.1%","(X)","91.6%","16.9%","(X)","85.0%","14.3%","(X)","74.6%","21.7%","","(X)","83.7%","16.3%","(X)","84.4%","16.5%","(X)","67.6%","0.0%","(X)","86.0%","10.5%","(X)","59.1%","0.0%","(X)","-","-","(X)","14.9%","0.0%","(X)","92.8%","28.9%","(X)","47.7%","8.1%","","23.2%","14.8%","15.3%","1.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","794","170","202","384","38","10,828","679","941","3,449","2,189","1,180","1,492","898","(X)","(X)","1,182","1,132","429","1,458","1,370","403","4,274","3,670","910","3,914","3,036","648","","10,277","8,862","2,333","10,096","8,681","2,247","142","70","16","122","84","9","58","40","17","0","0","0","51","25","0","178","127","15","238","212","86","","(X)","(X)","(X)","(X)","","24,675","15,046","20,188","25,724","28,281","34,219"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","21.4%","25.4%","48.4%","4.8%","(X)","6.3%","8.7%","31.9%","20.2%","10.9%","13.8%","8.3%","85.0%","22.1%","(X)","95.8%","36.3%","(X)","94.0%","27.6%","(X)","85.9%","21.3%","(X)","77.6%","16.6%","","(X)","86.2%","22.7%","(X)","86.0%","22.3%","(X)","49.3%","11.3%","(X)","68.9%","7.4%","(X)","69.0%","29.3%","(X)","-","-","(X)","49.0%","0.0%","(X)","71.3%","8.4%","(X)","89.1%","36.1%","","36.1%","14.0%","24.6%","8.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Chowan County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","917","152","209","422","134","10,580","461","1,206","3,632","2,283","869","1,250","879","(X)","(X)","1,741","1,460","313","1,515","1,394","330","4,111","3,607","767","3,213","2,452","719","","7,004","6,211","1,647","6,801","6,065","1,638","3,306","2,520","482","156","124","0","36","0","0","2","0","0","25","25","0","51","33","0","239","182","9","","(X)","(X)","(X)","(X)","","27,847","-","27,480","23,137","35,394","44,241"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","16.6%","22.8%","46.0%","14.6%","(X)","4.4%","11.4%","34.3%","21.6%","8.2%","11.8%","8.3%","84.2%","20.1%","(X)","83.9%","18.0%","(X)","92.0%","21.8%","(X)","87.7%","18.7%","(X)","76.3%","22.4%","","(X)","88.7%","23.5%","(X)","89.2%","24.1%","(X)","76.2%","14.6%","(X)","79.5%","0.0%","(X)","0.0%","0.0%","(X)","0.0%","0.0%","(X)","100.0%","0.0%","(X)","64.7%","0.0%","(X)","76.2%","3.8%","","44.8%","21.8%","10.9%","7.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","420","115","132","122","51","4,960","157","548","1,891","1,042","418","454","450","(X)","(X)","849","685","58","788","767","153","1,909","1,648","292","1,414","1,155","401","","3,400","3,093","809","3,281","2,993","809","1,425","1,037","95","87","79","0","0","0","0","2","0","0","13","13","0","33","33","0","132","113","0","","(X)","(X)","(X)","(X)","","32,462","-","30,865","29,375","60,956","57,188"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","27.4%","31.4%","29.0%","12.1%","(X)","3.2%","11.0%","38.1%","21.0%","8.4%","9.2%","9.1%","85.8%","18.2%","(X)","80.7%","6.8%","(X)","97.3%","19.4%","(X)","86.3%","15.3%","(X)","81.7%","28.4%","","(X)","91.0%","23.8%","(X)","91.2%","24.7%","(X)","72.8%","6.7%","(X)","90.8%","0.0%","(X)","-","-","(X)","0.0%","0.0%","(X)","100.0%","0.0%","(X)","100.0%","0.0%","(X)","85.6%","0.0%","","49.5%","21.1%","6.6%","5.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","497","37","77","300","83","5,620","304","658","1,741","1,241","451","796","429","(X)","(X)","892","775","255","727","627","177","2,202","1,959","475","1,799","1,297","318","","3,604","3,118","838","3,520","3,072","829","1,881","1,483","387","69","45","0","36","0","0","0","0","0","12","12","0","18","0","0","107","69","9","","(X)","(X)","(X)","(X)","","22,331","18,059","23,587","20,236","29,643","33,088"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","7.4%","15.5%","60.4%","16.7%","(X)","5.4%","11.7%","31.0%","22.1%","8.0%","14.2%","7.6%","82.9%","21.8%","(X)","86.9%","28.6%","(X)","86.2%","24.3%","(X)","89.0%","21.6%","(X)","72.1%","17.7%","","(X)","86.5%","23.3%","(X)","87.3%","23.6%","(X)","78.8%","20.6%","(X)","65.2%","0.0%","(X)","0.0%","0.0%","(X)","-","-","(X)","100.0%","0.0%","(X)","0.0%","0.0%","(X)","64.5%","8.4%","","41.4%","22.6%","14.8%","9.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Clay County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","727","291","322","114","0","8,070","326","644","2,632","1,933","841","1,067","627","(X)","(X)","886","798","129","1,177","1,026","251","2,995","2,629","538","3,012","2,647","776","","8,017","7,068","1,694","7,826","6,919","1,694","23","6","0","0","0","0","12","12","0","0","0","0","4","0","0","14","14","0","195","149","0","","(X)","(X)","(X)","(X)","","25,750","20,734","21,292","29,037","31,775","41,375"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","40.0%","44.3%","15.7%","0.0%","(X)","4.0%","8.0%","32.6%","24.0%","10.4%","13.2%","7.8%","88.0%","21.0%","(X)","90.1%","14.6%","(X)","87.2%","21.3%","(X)","87.8%","18.0%","(X)","87.9%","25.8%","","(X)","88.2%","21.1%","(X)","88.4%","21.6%","(X)","26.1%","0.0%","(X)","-","-","(X)","100.0%","0.0%","(X)","-","-","(X)","0.0%","0.0%","(X)","100.0%","0.0%","(X)","76.4%","0.0%","","28.1%","14.4%","9.2%","10.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","408","147","241","20","0","3,818","151","397","1,205","860","362","493","350","(X)","(X)","412","365","88","543","464","115","1,446","1,162","210","1,417","1,279","430","","3,805","3,258","843","3,730","3,225","843","0","0","0","0","0","0","12","12","0","0","0","0","1","0","0","0","0","0","76","33","0","","(X)","(X)","(X)","(X)","","30,093","22,381","23,447","35,261","32,480","-"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","36.0%","59.1%","4.9%","0.0%","(X)","4.0%","10.4%","31.6%","22.5%","9.5%","12.9%","9.2%","85.6%","22.1%","(X)","88.6%","21.4%","(X)","85.5%","21.2%","(X)","80.4%","14.5%","(X)","90.3%","30.3%","","(X)","85.6%","22.2%","(X)","86.5%","22.6%","(X)","-","-","(X)","-","-","(X)","100.0%","0.0%","(X)","-","-","(X)","0.0%","0.0%","(X)","-","-","(X)","43.4%","0.0%","","14.9%","8.3%","10.7%","8.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","319","144","81","94","0","4,252","175","247","1,427","1,073","479","574","277","(X)","(X)","474","433","41","634","562","136","1,549","1,467","328","1,595","1,368","346","","4,212","3,810","851","4,096","3,694","851","23","6","0","0","0","0","0","0","0","0","0","0","3","0","0","14","14","0","119","116","0","","(X)","(X)","(X)","(X)","","20,504","11,067","16,595","22,447","24,402","41,250"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","45.1%","25.4%","29.5%","0.0%","(X)","4.1%","5.8%","33.6%","25.2%","11.3%","13.5%","6.5%","90.1%","20.0%","(X)","91.4%","8.6%","(X)","88.6%","21.5%","(X)","94.7%","21.2%","(X)","85.8%","21.7%","","(X)","90.5%","20.2%","(X)","90.2%","20.8%","(X)","26.1%","0.0%","(X)","-","-","(X)","-","-","(X)","-","-","(X)","0.0%","0.0%","(X)","100.0%","0.0%","(X)","97.5%","0.0%","","45.4%","19.6%","8.0%","11.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Cleveland County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,260","1,474","2,921","4,189","676","66,196","3,767","7,126","22,999","14,252","7,260","6,380","4,412","(X)","(X)","10,585","9,034","1,645","11,663","10,205","2,375","27,349","23,720","4,529","16,599","12,344","2,243","","51,883","43,769","9,226","50,961","43,063","9,131","12,614","10,206","1,119","142","140","36","656","607","248","0","0","0","491","272","59","410","309","104","1,489","979","152","","(X)","(X)","(X)","(X)","","30,235","17,571","26,337","30,612","40,595","46,155"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","15.9%","31.5%","45.2%","7.3%","(X)","5.7%","10.8%","34.7%","21.5%","11.0%","9.6%","6.7%","83.5%","16.3%","(X)","85.3%","15.5%","(X)","87.5%","20.4%","(X)","86.7%","16.6%","(X)","74.4%","13.5%","","(X)","84.4%","17.8%","(X)","84.5%","17.9%","(X)","80.9%","8.9%","(X)","98.6%","25.4%","(X)","92.5%","37.8%","(X)","-","-","(X)","55.4%","12.0%","(X)","75.4%","25.4%","(X)","65.7%","10.2%","","31.1%","19.3%","14.3%","5.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,657","862","1,510","1,984","301","31,007","2,077","3,656","11,210","6,184","2,777","3,067","2,036","(X)","(X)","5,027","4,020","733","5,620","4,871","1,145","13,220","11,127","2,017","7,140","5,256","1,208","","24,570","20,183","4,440","24,178","19,912","4,369","5,484","4,349","403","69","67","0","332","311","110","0","0","0","310","177","59","242","187","91","749","448","113","","(X)","(X)","(X)","(X)","","33,757","19,905","30,728","36,890","42,020","50,989"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","18.5%","32.4%","42.6%","6.5%","(X)","6.7%","11.8%","36.2%","19.9%","9.0%","9.9%","6.6%","81.5%","16.5%","(X)","80.0%","14.6%","(X)","86.7%","20.4%","(X)","84.2%","15.3%","(X)","73.6%","16.9%","","(X)","82.1%","18.1%","(X)","82.4%","18.1%","(X)","79.3%","7.3%","(X)","97.1%","0.0%","(X)","93.7%","33.1%","(X)","-","-","(X)","57.1%","19.0%","(X)","77.3%","37.6%","(X)","59.8%","15.1%","","30.9%","15.0%","10.2%","5.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,603","612","1,411","2,205","375","35,189","1,690","3,470","11,789","8,068","4,483","3,313","2,376","(X)","(X)","5,558","5,014","912","6,043","5,334","1,230","14,129","12,593","2,512","9,459","7,088","1,035","","27,313","23,586","4,786","26,783","23,151","4,762","7,130","5,857","716","73","73","36","324","296","138","0","0","0","181","95","0","168","122","13","740","531","39","","(X)","(X)","(X)","(X)","","26,358","13,306","23,061","26,266","37,840","44,561"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","13.3%","30.7%","47.9%","8.1%","(X)","4.8%","9.9%","33.5%","22.9%","12.7%","9.4%","6.8%","85.3%","16.2%","(X)","90.2%","16.4%","(X)","88.3%","20.4%","(X)","89.1%","17.8%","(X)","74.9%","10.9%","","(X)","86.4%","17.5%","(X)","86.4%","17.8%","(X)","82.1%","10.0%","(X)","100.0%","49.3%","(X)","91.4%","42.6%","(X)","-","-","(X)","52.5%","0.0%","(X)","72.6%","7.7%","(X)","71.8%","5.3%","","31.4%","23.4%","17.2%","5.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Columbus County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,049","1,225","1,680","1,918","226","39,320","2,582","5,007","12,868","10,087","4,066","3,236","1,474","(X)","(X)","6,683","5,607","642","6,834","5,854","904","15,652","12,870","1,857","10,151","7,400","1,307","","25,440","21,171","3,628","25,025","21,036","3,617","11,484","9,009","880","1,305","978","156","135","135","18","17","17","0","684","254","18","255","167","10","1,189","380","24","","(X)","(X)","(X)","(X)","","28,903","19,913","26,383","29,382","40,762","46,555"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","24.3%","33.3%","38.0%","4.5%","(X)","6.6%","12.7%","32.7%","25.7%","10.3%","8.2%","3.7%","80.7%","12.0%","(X)","83.9%","9.6%","(X)","85.7%","13.2%","(X)","82.2%","11.9%","(X)","72.9%","12.9%","","(X)","83.2%","14.3%","(X)","84.1%","14.5%","(X)","78.4%","7.7%","(X)","74.9%","12.0%","(X)","100.0%","13.3%","(X)","100.0%","0.0%","(X)","37.1%","2.6%","(X)","65.5%","3.9%","(X)","32.0%","2.0%","","37.7%","18.9%","15.9%","6.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,792","728","1,057","913","94","19,007","1,549","2,876","6,948","4,600","1,387","1,124","523","(X)","(X)","3,525","2,781","160","3,502","2,841","274","7,694","5,936","636","4,286","3,024","577","","12,187","9,665","1,340","11,996","9,599","1,340","5,618","4,207","261","637","409","7","50","50","18","9","9","0","345","129","18","161","113","3","602","185","13","","(X)","(X)","(X)","(X)","","32,024","21,067","31,404","33,383","50,668","55,600"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","26.1%","37.9%","32.7%","3.4%","(X)","8.1%","15.1%","36.6%","24.2%","7.3%","5.9%","2.8%","76.7%","8.7%","(X)","78.9%","4.5%","(X)","81.1%","7.8%","(X)","77.2%","8.3%","(X)","70.6%","13.5%","","(X)","79.3%","11.0%","(X)","80.0%","11.2%","(X)","74.9%","4.6%","(X)","64.2%","1.1%","(X)","100.0%","36.0%","(X)","100.0%","0.0%","(X)","37.4%","5.2%","(X)","70.2%","1.9%","(X)","30.7%","2.2%","","37.4%","14.5%","11.0%","7.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,257","497","623","1,005","132","20,313","1,033","2,131","5,920","5,487","2,679","2,112","951","(X)","(X)","3,158","2,826","482","3,332","3,013","630","7,958","6,934","1,221","5,865","4,376","730","","13,253","11,506","2,288","13,029","11,437","2,277","5,866","4,802","619","668","569","149","85","85","0","8","8","0","339","125","0","94","54","7","587","195","11","","(X)","(X)","(X)","(X)","","25,494","18,958","21,017","25,646","38,979","42,465"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","22.0%","27.6%","44.5%","5.8%","(X)","5.1%","10.5%","29.1%","27.0%","13.2%","10.4%","4.7%","84.4%","15.1%","(X)","89.5%","15.3%","(X)","90.4%","18.9%","(X)","87.1%","15.3%","(X)","74.6%","12.4%","","(X)","86.8%","17.3%","(X)","87.8%","17.5%","(X)","81.9%","10.6%","(X)","85.2%","22.3%","(X)","100.0%","0.0%","(X)","100.0%","0.0%","(X)","36.9%","0.0%","(X)","57.4%","7.4%","(X)","33.2%","1.9%","","38.0%","23.6%","19.1%","5.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Craven County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,238","1,238","5,385","6,106","509","67,479","3,338","5,235","18,130","17,972","7,646","9,770","5,388","(X)","(X)","14,073","12,234","2,789","11,191","9,766","2,737","24,377","21,550","5,413","17,838","15,356","4,219","","49,609","45,201","12,874","47,713","43,774","12,593","13,994","10,988","1,668","350","298","44","1,558","981","352","84","84","0","963","479","79","921","875","141","3,131","2,120","316","","(X)","(X)","(X)","(X)","","31,063","14,859","27,434","31,181","41,918","60,284"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","9.4%","40.7%","46.1%","3.8%","(X)","4.9%","7.8%","26.9%","26.6%","11.3%","14.5%","8.0%","87.3%","22.5%","(X)","86.9%","19.8%","(X)","87.3%","24.5%","(X)","88.4%","22.2%","(X)","86.1%","23.7%","","(X)","91.1%","26.0%","(X)","91.7%","26.4%","(X)","78.5%","11.9%","(X)","85.1%","12.6%","(X)","63.0%","22.6%","(X)","100.0%","0.0%","(X)","49.7%","8.2%","(X)","95.0%","15.3%","(X)","67.7%","10.1%","","32.6%","14.4%","9.5%","2.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,258","731","3,804","3,462","261","32,532","1,990","2,949","8,838","9,119","2,734","4,343","2,559","(X)","(X)","7,428","6,201","1,100","5,691","4,830","1,123","11,490","9,870","2,462","7,923","6,692","2,217","","24,127","21,520","6,237","23,077","20,732","6,064","6,557","4,872","415","104","69","21","707","430","133","0","0","0","532","225","0","505","477","96","1,744","1,147","194","","(X)","(X)","(X)","(X)","","36,708","15,445","31,325","40,251","53,958","77,205"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8.9%","46.1%","41.9%","3.2%","(X)","6.1%","9.1%","27.2%","28.0%","8.4%","13.3%","7.9%","84.8%","21.2%","(X)","83.5%","14.8%","(X)","84.9%","19.7%","(X)","85.9%","21.4%","(X)","84.5%","28.0%","","(X)","89.2%","25.9%","(X)","89.8%","26.3%","(X)","74.3%","6.3%","(X)","66.3%","20.2%","(X)","60.8%","18.8%","(X)","-","-","(X)","42.3%","0.0%","(X)","94.5%","19.0%","(X)","65.8%","11.1%","","28.1%","10.1%","6.6%","1.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,980","507","1,581","2,644","248","34,947","1,348","2,286","9,292","8,853","4,912","5,427","2,829","(X)","(X)","6,645","6,033","1,689","5,500","4,936","1,614","12,887","11,680","2,951","9,915","8,664","2,002","","25,482","23,681","6,637","24,636","23,042","6,529","7,437","6,116","1,253","246","229","23","851","551","219","84","84","0","431","254","79","416","398","45","1,387","973","122","","(X)","(X)","(X)","(X)","","25,831","13,025","20,990","23,195","36,288","44,167"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","10.2%","31.7%","53.1%","5.0%","(X)","3.9%","6.5%","26.6%","25.3%","14.1%","15.5%","8.1%","89.6%","23.6%","(X)","90.8%","25.4%","(X)","89.7%","29.3%","(X)","90.6%","22.9%","(X)","87.4%","20.2%","","(X)","92.9%","26.0%","(X)","93.5%","26.5%","(X)","82.2%","16.8%","(X)","93.1%","9.3%","(X)","64.7%","25.7%","(X)","100.0%","0.0%","(X)","58.9%","18.3%","(X)","95.7%","10.8%","(X)","70.2%","8.8%","","38.4%","18.3%","11.9%","2.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Cumberland County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","40,478","4,577","14,266","19,351","2,284","201,229","6,245","13,275","51,791","59,215","22,180","31,694","16,829","(X)","(X)","54,719","51,226","12,796","38,915","36,263","10,914","72,301","65,760","18,145","35,294","28,460","6,668","","108,230","99,221","28,457","97,286","89,870","25,996","73,954","66,242","16,120","3,065","2,388","328","5,651","4,574","1,685","581","545","0","3,785","3,242","625","5,963","5,497","1,308","17,810","15,314","3,457","","(X)","(X)","(X)","(X)","","31,820","16,837","25,246","30,356","42,576","56,943"
